image,A,B,C,D,solution
practice,jealous,panicked,arrogant,hateful,B
1,playful,comforting,irritated,bored,A
2,terrified,upset,arrogant,annoyed,B
3,joking,flustered,desire,convinced,C
4,joking,insisting,amused,relaxed,B
5,irritated,sarcastic,worried,friendly,C
6,aghast,fantasizing,impatient,alarmed,B
7,apologetic,friendly,uneasy,dispirited,C
8,despondent,relieved,shy,excited,A
9,annoyed,hostile,horrified,preoccupied,D
10,cautious,insisting,bored,aghast,A
11,terrified,amused,regretful,flirtatious,C
12,indifferent,embarrassed,sceptical,dispirited,C
13,decisive,anticipating,threatening,shy,B
14,irritated,disappointed,depressed,accusing,D
15,contemplative,flustered,encouraging,amused,A
16,irritated,thoughtful,encouraging,sympathetic,B
17,doubtful,affectionate,playful,aghast,A
18,decisive,amused,aghast,bored,A
19,arrogant,grateful,sarcastic,tentative,D
20,dominant,friendly,guilty,horrified,B
21,embarrassed,fantasizing,confused,panicked,B
22,preoccupied,grateful,insisting,imploring,A
23,contented,apologetic,defiant,curious,C
24,pensive,irritated,excited,hostile,A
25,panicked,incredulous,despondent,interested,D
26,alarmed,shy,hostile,anxious,C
27,joking,cautious,arrogant,reassuring,B
28,interested,joking,affectionate,contented,A
29,impatient,aghast,irritated,reflective,D
30,grateful,flirtatious,hostile,disappointed,B
31,ashamed,confident,joking,dispirited,B
32,serious,ashamed,bewildered,alarmed,A
33,embarrassed,guilty,fantasizing,concerned,D
34,aghast,baffled,distrustful,terrified,C
35,puzzled,nervous,insisting,contemplative,B
36,ashamed,nervous,suspicious,indecisive,C
